name	default	mididev	midictl	global	smooth	label
post_bloom_amount	0	codev2	s9	1	1	bloom
post_bloom_distance	0	codev2	s13	1	1	bloom distance
post_bypass	0			1		post bypass
post_echo_length	0.1	codev2	s1	1	1	echo length
post_echo_mix	0	codev2	s5	1	1	echo mix
post_contrast	0			1	1	contrast
post_saturation	.8			1	1	saturation
post_feedback_mix	.2	codev2	s12	1	1	feedback mix
post_feedback_hold	.2	codev2	s16	1	1	feedback hold amount
post_feedback_delay	.1	codev2	s20	1	1	feedback delay
post_feedback_delaymix	.3	codev2	s24	1	1	feedback delay mix
post_feedback_scale	.5	codev2	s28	1	1	feedback scale
post_feedback_twist	.5	codev2	s32	1	1	feedback twist
time_rate	.5	codev2	s4		1	time rate
cam_fovamount	.5	codev2	s6		1	cam fov amount
cam_position	.3	codev2	s10		1	cam position
cam_spinrate	.2	codev2	s8	1	1	cam spin rate
path_opacitya	.6	codev2	s22		1	path A opacity
path_opacityb	.4	codev2	s30		1	path B opacity
path_opacityavg	.8	codev2	s26		1	path avg opacity
path_frequency	.2	codev2	s2		1	path frequency
path_twist_rate	.6	codev2	s14		1	path twist rate
path_twist_amount	.4	codev2	s18		1	path twist amount
